,Catch,,,,,,,,,,,,,,,,,,,,,,
,"Sardine in 1000 tonnes, others in tonnes",,,,,,,,,,,,,,,,,,,,,,
Year,Sardine ,Anchovies,Round herring,,,,,,,,,,,,,,,,,,,,
1947,1,,,,,,,,,,,,,,,,,,,,,,
1948,3,,,,,,,,,,,,,,,,,,,,,,
1949,9,,,,,,,,,,,,,,,,,,,,,,
1950,47,,,,,,,,,,,,,,,,,,,,,,
1951,127,,,,,,,,,,,,,,,,,,,,,,
1952,226,,,,,,,,,,,,,,,,,,,,,,
1953,262,,,,,,,,,,,,,,,,,,,,,,
1954,251,,,,,,,,,,,,,,,,,,,,,,
1955,227,,,,,,,,,,,,,,,,,,,,,,
1956,228,,,,,,,,,,,,,,,,,,,,,,
1957,228,,,,,,,,,,,,,,,,,,,,,,
1958,229,,,,,,,,,,,,,,,,,,,,,,
1959,274,,,,,,,,,,,,,,,,,,,,,,
1960,283,,,,,,,,,,,,,,,,,,,,,,
1961,344,,,,,,,,,,,,,,,,,,,,,,
1962,397,,,,,,,,,,,,,,,,,,,,,,
1963,555,,,,,,,,,,,,,,,,,,,,,,
1964,636,,,,,,,,,,,,,,,,,,,,,,
1965,666,,,,,,,,,,,,,,,,,,,,,,
1966,719,,,,,,,,,,,,,,,,,,,,,,
1967,926,,,,,,,,,,,,,,,,,,,,,,
1968,1387,,,,,,,,,,,,,,,,,,,,,,
1969,1110,,,,,,,,,,,,,,,,,,,,,,
1970,514,,,,,,,,,,,,,,,,,,,,,,
1971,325,,,,,,,,,,,,,,,,,,,,,,
1972,374,,,,,,,,,,,,,,,,,,,,,,
1973,408,,,,,,,,,,,,,,,,,,,,,,
1974,562,,,,,,,,,,,,,,,,,,,,,,
1975,561,,,,,,,,,,,,,,,,,,,,,,
1976,452,,,,,,,,,,,,,,,,,,,,,,
1977,200,,,,,,,,,,,,,,,,,,,,,,
1978,46,,,,,,,,,,,,,,,,,,,,,,
1979,34,,,,,,,,,,,,,,,,,,,,,,
1980,11,,,,,,,,,,,,,,,,,,,,,,
1981,52,,,,,,,,,,,,,,,,,,,,,,
1982,51,,,,,,,,,,,,,,,,,,,,,,
1983,44,,,,,,,,,,,,,,,,,,,,,,
1984,56,,,,,,,,,,,,,,,,,,,,,,
1985,54,,,,,,,,,,,,,,,,,,,,,,
1986,52,,,,,,,,,,,,,,,,,,,,,,
1987,66,,,,,,,,,,,,,,,,,,,,,,
1988,62,,,,,,,,,,,,,,,,,,,,,,
1989,78,,,,,,,,,,,,,,,,,,,,,,
1990,89,,,,,,,,,,,,,,,,,,,,,,
1991,68,,,,,,,,,,,,,,,,,,,,,,
1992,82,,,,,,,,,,,,,,,,,,,,,,
1993,116,,,,,,,,,,,,,,,,,,,,,,
1994,117,,,,,,,,,,,,,,,,,,,,,,
1995,92,,,,,,,,,,,,,,,,,,,,,,
1996,2,,,,,,,,,,,,,,,,,,,,,,
1997,32,,,,,,,,,,,,,,,,,,,,,,
1998,65,,,,,,,,,,,,,,,,,,,,,,
1999,43,,,,,,,,,,,,,,,,,,,,,,
2000,27,208.391,1225.467,,,,,,,,,,,,,,,,,,,,
2001,11,5179.898,2813.0417,,,,,,,,,,,,,,,,,,,,
2002,4.3,28824.833,10355.989,,,,,,,,,,,,,,,,,,,,
2003,21,1587.126,1476.715,,,,,,,,,,,,,,,,,,,,
2004,28.4,2544.733,4661.297,,,,,,,,,,,,,,,,,,,,
2005,25.2,708.041,605.638,,,,,,,,,,,,,,,,,,,,
2006,2.1,1609.284,4410.5786,,,,,,,,,,,,,,,,,,,,
2007,23,223.834,834.79,,,,,,,,,,,,,,,,,,,,
2008,24,320.288,1127.996,,,,,,,,,,,,,,,,,,,,
2009,17,31.371,118.388,,,,,,,,,,,,,,,,,,,,
2010,24,120.813,559.641,,,,,,,,,,,,,,,,,,,,
2011,28,506.172,431.642,,,,,,,,,,,,,,,,,,,,
2012,33,585.325,274.723,,,,,,,,,,,,,,,,,,,,
2013,24,261.645,143.64,,,,,,,,,,,,,,,,,,,,
2014,29.6,0.3,90.341,,,,,,,,,,,,,,,,,,,,
2015,20.4,0,43.652,,,,,,,,,,,,,,,,,,,,
2016,3.4,0,254.655,,,,,,,,,,,,,,,,,,,,
2017,3.9,0,0,,,,,,,,,,,,,,,,,,,,
2018,0,0,0,,,,,,,,,,,,,,,,,,,,
2019,0,0,0,,,,,,,,,,,,,,,,,,,,
2020,0,0,0,,,,,,,,,,,,,,,,,,,,
2021,0,0,0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
